sample,frac,seed,method,P,R,F1,F1_oracle
PU-pig,0.15,101,LOF,1.0,0.4613333333333333,0.6313868613138686,0.8698677800974252
PU-quadric,0.05,7,Calibrated,1.0,0.828,0.9059080962800875,0.9382198952879582
PU-quadric,0.05,7,SOR,1.0,0.746,0.854524627720504,0.944502617801047
PU-quadric,0.05,7,LOF,1.0,0.58,0.7341772151898733,0.8732984293193717
PU-quadric,0.05,19,Calibrated,1.0,0.808,0.8938053097345133,0.9319371727748691
PU-quadric,0.05,19,SOR,1.0,0.764,0.8662131519274376,0.9403141361256545
PU-quadric,0.05,19,LOF,1.0,0.558,0.7163029525032093,0.8244803695150116
PU-quadric,0.05,101,Calibrated,1.0,0.824,0.9035087719298246,0.9486910994764397
PU-quadric,0.05,101,SOR,1.0,0.758,0.8623435722411832,0.9528795811518325
PU-quadric,0.05,101,LOF,1.0,0.566,0.722860791826309,0.8175519630484989
PU-quadric,0.15,7,Calibrated,1.0,0.5946666666666667,0.7458193979933111,0.9144050104384134
PU-quadric,0.15,7,SOR,1.0,0.6986666666666667,0.8226059654631084,0.9526791927627
PU-quadric,0.15,7,LOF,1.0,0.32266666666666666,0.4879032258064516,0.7358636715724245
PU-quadric,0.15,19,Calibrated,1.0,0.578,0.7325728770595691,0.9109255393180236
PU-quadric,0.15,19,SOR,1.0,0.6993333333333334,0.8230678697528443,0.9457202505219208
PU-quadric,0.15,19,LOF,1.0,0.306,0.46860643185298617,0.727136991414707
PU-quadric,0.15,101,Calibrated,1.0,0.6066666666666667,0.7551867219917012,0.9255393180236604
PU-quadric,0.15,101,SOR,1.0,0.6986666666666667,0.8226059654631084,0.9485038274182325
PU-quadric,0.15,101,LOF,1.0,0.342,0.5096870342771982,0.7389620449264136
PU-sculpt,0.05,7,Calibrated,0.9956616052060737,0.918,0.95525494276795,0.9528795811518325
PU-sculpt,0.05,7,SOR,1.0,0.66,0.7951807228915663,0.9507853403141362
PU-sculpt,0.05,7,LOF,1.0,0.662,0.7966305655836342,0.9298429319371727
PU-sculpt,0.05,19,Calibrated,1.0,0.892,0.9429175475687104,0.944502617801047
PU-sculpt,0.05,19,SOR,1.0,0.652,0.7893462469733655,0.9382198952879582
PU-sculpt,0.05,19,LOF,1.0,0.626,0.7699876998769988,0.9172774869109948
PU-sculpt,0.05,101,Calibrated,0.9955456570155902,0.894,0.9420442571127503,0.944502617801047
PU-sculpt,0.05,101,SOR,1.0,0.664,0.798076923076923,0.9403141361256545
PU-sculpt,0.05,101,LOF,1.0,0.648,0.7864077669902912,0.9298429319371727
PU-sculpt,0.15,7,Calibrated,1.0,0.8673333333333333,0.9289539450196358,0.9443284620737648
PU-sculpt,0.15,7,SOR,1.0,0.6046666666666667,0.7536352305774824,0.9464161447459986
PU-sculpt,0.15,7,LOF,1.0,0.37466666666666665,0.5451018428709989,0.8768011527377522
PU-sculpt,0.15,19,Calibrated,1.0,0.8493333333333334,0.9185291997116077,0.9422407794015308
PU-sculpt,0.15,19,SOR,1.0,0.5873333333333334,0.7400251994960101,0.9436325678496869
PU-sculpt,0.15,19,LOF,1.0,0.36933333333333335,0.5394352482960079,0.8607689436356849
PU-sculpt,0.15,101,Calibrated,0.9992156862745099,0.8493333333333334,0.9181981981981984,0.9401530967292971
PU-sculpt,0.15,101,SOR,1.0,0.596,0.7468671679197995,0.9422407794015308
PU-sculpt,0.15,101,LOF,1.0,0.36466666666666664,0.5344406448461162,0.8488241881298992
PU-star,0.05,7,Calibrated,0.9978902953586498,0.946,0.971252566735113,0.9528795811518325
PU-star,0.05,7,SOR,1.0,0.782,0.877665544332211,0.9528795811518325
PU-star,0.05,7,LOF,1.0,0.558,0.7163029525032093,0.9528795811518325
PU-star,0.05,19,Calibrated,0.9957627118644068,0.94,0.9670781893004115,0.9528795811518325
PU-star,0.05,19,SOR,1.0,0.78,0.8764044943820225,0.9528795811518325
PU-star,0.05,19,LOF,1.0,0.574,0.7293519695044473,0.9528795811518325
PU-star,0.05,101,Calibrated,1.0,0.936,0.9669421487603307,0.9528795811518325
PU-star,0.05,101,SOR,1.0,0.788,0.8814317673378076,0.9528795811518325
PU-star,0.05,101,LOF,1.0,0.536,0.6979166666666667,0.9465968586387435
PU-star,0.15,7,Calibrated,0.9992603550295858,0.9006666666666666,0.947405329593268,0.9646583641871425
PU-star,0.15,7,SOR,1.0,0.704,0.8262910798122065,0.9660047122181082
PU-star,0.15,7,LOF,1.0,0.324,0.48942598187311176,0.8391190742814483
PU-star,0.15,19,Calibrated,0.9985007496251874,0.888,0.9400141143260409,0.9653315382026253
PU-star,0.15,19,SOR,1.0,0.7206666666666667,0.8376598217745059,0.9686974082800404
PU-star,0.15,19,LOF,1.0,0.3253333333333333,0.4909456740442656,0.8406121687196716
PU-star,0.15,101,Calibrated,1.0,0.8926666666666667,0.9432898908066221,0.9639851901716594
PU-star,0.15,101,SOR,1.0,0.7086666666666667,0.8294966835739367,0.9612924941097273
PU-star,0.15,101,LOF,1.0,0.31666666666666665,0.4810126582278481,0.8391190742814483
ALS-V1,0.05,7,Calibrated,0.2605633802816901,0.9327731092436975,0.40733944954128437,0.8064516129032258
ALS-V1,0.05,7,SOR,0.9871244635193133,0.6442577030812325,0.7796610169491526,0.841642228739003
ALS-V1,0.05,7,LOF,0.984,0.6890756302521008,0.8105436573311366,0.8303715670436187
ALS-V1,0.05,19,Calibrated,0.2359882005899705,0.896358543417367,0.3736135434909515,0.7819063004846527
ALS-V1,0.05,19,SOR,0.9876543209876543,0.6722689075630253,0.8,0.8563049853372434
ALS-V1,0.05,19,LOF,0.9923076923076923,0.7226890756302521,0.8363047001620745,0.8368336025848142
ALS-V1,0.05,101,Calibrated,0.2543307086614173,0.9047619047619048,0.3970497848801475,0.782991202346041
ALS-V1,0.05,101,SOR,0.991701244813278,0.6694677871148459,0.7993311036789298,0.8504398826979472
ALS-V1,0.05,101,LOF,1.0,0.6946778711484594,0.8198347107438017,0.8303715670436187
ALS-V1,0.15,7,Calibrated,0.5629672225416906,0.9132462686567164,0.6965492707221629,0.8248587570621468
ALS-V1,0.15,7,SOR,1.0,0.5149253731343284,0.6798029556650247,0.875566750629723
ALS-V1,0.15,7,LOF,0.9982363315696648,0.5279850746268657,0.6906650396583283,0.8191435768261964
ALS-V1,0.15,19,Calibrated,0.5196182396606575,0.914179104477612,0.6626098715348209,0.824732229795521
ALS-V1,0.15,19,SOR,1.0,0.5354477611940298,0.6974483596597812,0.8826196473551637
ALS-V1,0.15,19,LOF,1.0,0.5335820895522388,0.6958637469586375,0.8231738035264484
ALS-V1,0.15,101,Calibrated,0.5554292211483798,0.9113805970149254,0.690215471564818,0.8248587570621468
ALS-V1,0.15,101,SOR,1.0,0.5373134328358209,0.6990291262135923,0.8826196473551637
ALS-V1,0.15,101,LOF,1.0,0.519589552238806,0.683855125844076,0.806266318537859
ALS-D1,0.05,7,Calibrated,0.7018633540372671,0.931958762886598,0.8007085916740478,0.895361380798274
ALS-D1,0.05,7,SOR,0.9917808219178083,0.7463917525773196,0.8517647058823529,0.9234088457389428
ALS-D1,0.05,7,LOF,0.9807692307692307,0.6309278350515464,0.7678795483061479,0.7895362663495838
ALS-D1,0.05,19,Calibrated,0.6976744186046512,0.9278350515463918,0.7964601769911503,0.8975188781014024
ALS-D1,0.05,19,SOR,0.991869918699187,0.7546391752577319,0.8571428571428571,0.9212513484358144
ALS-D1,0.05,19,LOF,0.9800664451827242,0.6082474226804123,0.7506361323155216,0.7681331747919143
ALS-D1,0.05,101,Calibrated,0.6947368421052632,0.9525773195876288,0.8034782608695652,0.8910463861920173
ALS-D1,0.05,101,SOR,0.9917808219178083,0.7463917525773196,0.8517647058823529,0.9212513484358144
ALS-D1,0.05,101,LOF,0.9731543624161074,0.5979381443298969,0.7407407407407407,0.7728894173602853
ALS-D1,0.15,7,Calibrated,0.8806262230919765,0.9265614275909403,0.903010033444816,0.9099099099099099
ALS-D1,0.15,7,SOR,0.996969696969697,0.6774193548387096,0.8067020841847159,0.927650429799427
ALS-D1,0.15,7,LOF,0.9947552447552448,0.39052848318462596,0.5608674223755544,0.6746062235881675
ALS-D1,0.15,19,Calibrated,0.8778726198292843,0.9176389842141386,0.8973154362416107,0.9071379071379072
ALS-D1,0.15,19,SOR,0.9969574036511156,0.6746739876458476,0.8047482603356528,0.931948424068768
ALS-D1,0.15,19,LOF,0.9948186528497409,0.3953328757721345,0.5658153241650294,0.6802232854864434
ALS-D1,0.15,101,Calibrated,0.881213686249193,0.9368565545641729,0.9081836327345308,0.9147609147609148
ALS-D1,0.15,101,SOR,0.9969262295081968,0.6678105696636926,0.799835593916975,0.9262177650429799
ALS-D1,0.15,101,LOF,0.9946996466431095,0.3864104323953329,0.5565991102323282,0.6752278376139188
