sample,frac,seed,method,P,R,F1,F1_oracle
PU-elk,0.05,101,SOR,1.0,0.746,0.854524627720504,0.9528795811518325
PU-elk,0.05,101,LOF,1.0,0.616,0.7623762376237623,0.8921465968586387
PU-elk,0.15,7,Calibrated,1.0,0.6933333333333334,0.8188976377952756,0.9304105775922059
PU-elk,0.15,7,SOR,1.0,0.664,0.798076923076923,0.9519832985386222
PU-elk,0.15,7,LOF,1.0,0.41,0.5815602836879432,0.8011527377521613
PU-elk,0.15,19,Calibrated,1.0,0.676,0.8066825775656324,0.9164926931106472
PU-elk,0.15,19,SOR,1.0,0.662,0.7966305655836342,0.9485038274182325
PU-elk,0.15,19,LOF,1.0,0.39866666666666667,0.5700667302192565,0.7868607689436357
PU-elk,0.15,101,Calibrated,1.0,0.6813333333333333,0.8104678826328311,0.9227557411273486
PU-elk,0.15,101,SOR,1.0,0.6553333333333333,0.7917841320982683,0.9505915100904663
PU-elk,0.15,101,LOF,1.0,0.4013333333333333,0.5727878211227402,0.7853676745054126
PU-fandisk,0.05,7,Calibrated,1.0,0.728,0.8425925925925926,0.9151832460732984
PU-fandisk,0.05,7,SOR,1.0,0.654,0.7908101571946796,0.9151832460732984
PU-fandisk,0.05,7,LOF,1.0,0.466,0.6357435197817191,0.8670157068062826
PU-fandisk,0.05,19,Calibrated,1.0,0.736,0.847926267281106,0.9068062827225131
PU-fandisk,0.05,19,SOR,1.0,0.624,0.7684729064039408,0.9151832460732984
PU-fandisk,0.05,19,LOF,1.0,0.464,0.6338797814207651,0.8293193717277487
PU-fandisk,0.05,101,Calibrated,1.0,0.73,0.8439306358381503,0.8900523560209425
PU-fandisk,0.05,101,SOR,1.0,0.666,0.7995198079231693,0.9047120418848167
PU-fandisk,0.05,101,LOF,1.0,0.462,0.6320109439124487,0.8290993071593533
PU-fandisk,0.15,7,Calibrated,1.0,0.496,0.6631016042780749,0.8868876080691642
PU-fandisk,0.15,7,SOR,1.0,0.6126666666666667,0.7598181066556429,0.919276270006959
PU-fandisk,0.15,7,LOF,1.0,0.286,0.44479004665629857,0.7405748413587159
PU-fandisk,0.15,19,Calibrated,1.0,0.488,0.6559139784946236,0.8811239193083574
PU-fandisk,0.15,19,SOR,1.0,0.5866666666666667,0.7394957983193278,0.914985590778098
PU-fandisk,0.15,19,LOF,1.0,0.3006666666666667,0.4623270117888263,0.7645236250968243
PU-fandisk,0.15,101,Calibrated,1.0,0.5266666666666666,0.6899563318777292,0.8861671469740633
PU-fandisk,0.15,101,SOR,1.0,0.598,0.7484355444305382,0.9171469740634006
PU-fandisk,0.15,101,LOF,1.0,0.3006666666666667,0.4623270117888263,0.7536793183578622
