shape,sigma,noise,seed,method,overall,near,smooth,time
sphere,0.5,gauss,101,MLS,40.91787202531536,nan,40.91787202531536,0.5550134181976318
sphere,0.5,gauss,101,GLR,49.79658606721073,nan,49.79658606721073,0.6379954814910889
sphere,0.5,gauss,101,Prior-v1,16.599809185032356,nan,16.599809185032356,4.863942861557007
sphere,0.5,gauss,101,Prior-v2,43.36209553353514,nan,43.36209553353514,4.760078191757202
sphere,1.0,gauss,7,Bilateral,11.194973575266165,nan,11.194973575266165,0.7296082973480225
sphere,1.0,gauss,7,MLS,30.698717782225504,nan,30.698717782225504,0.5589697360992432
sphere,1.0,gauss,7,GLR,41.63977778646737,nan,41.63977778646737,0.6192569732666016
sphere,1.0,gauss,7,Prior-v1,10.197408611947644,nan,10.197408611947644,4.773452043533325
sphere,1.0,gauss,7,Prior-v2,47.310891990536405,nan,47.310891990536405,4.73914098739624
sphere,1.0,gauss,19,Bilateral,11.247638781441061,nan,11.247638781441061,0.7075650691986084
sphere,1.0,gauss,19,MLS,30.584500004126703,nan,30.584500004126703,0.5556380748748779
sphere,1.0,gauss,19,GLR,41.49133695396906,nan,41.49133695396906,0.613044261932373
sphere,1.0,gauss,19,Prior-v1,10.183873548764744,nan,10.183873548764744,4.787948131561279
sphere,1.0,gauss,19,Prior-v2,46.64037778782926,nan,46.64037778782926,4.718810796737671
sphere,1.0,gauss,101,Bilateral,11.120152754554358,nan,11.120152754554358,0.7250323295593262
sphere,1.0,gauss,101,MLS,30.414664058190898,nan,30.414664058190898,0.573890209197998
sphere,1.0,gauss,101,GLR,41.34134552140195,nan,41.34134552140195,0.6251373291015625
sphere,1.0,gauss,101,Prior-v1,10.013122243723005,nan,10.013122243723005,4.7937328815460205
sphere,1.0,gauss,101,Prior-v2,45.34187511831185,nan,45.34187511831185,4.792001247406006
cylinder,0.5,gauss,7,Bilateral,14.956088911871113,nan,14.956088911871113,0.6919379234313965
cylinder,0.5,gauss,7,MLS,37.402606388206614,nan,37.402606388206614,0.5719573497772217
cylinder,0.5,gauss,7,GLR,48.419335358514445,nan,48.419335358514445,0.6310486793518066
cylinder,0.5,gauss,7,Prior-v1,13.825178601913812,nan,13.825178601913812,4.834733486175537
cylinder,0.5,gauss,7,Prior-v2,47.39836589361096,nan,47.39836589361096,4.824335336685181
cylinder,0.5,gauss,19,Bilateral,14.809564319038449,nan,14.809564319038449,0.7325022220611572
cylinder,0.5,gauss,19,MLS,37.1474382081551,nan,37.1474382081551,0.5738611221313477
cylinder,0.5,gauss,19,GLR,48.36368073133029,nan,48.36368073133029,0.6159369945526123
cylinder,0.5,gauss,19,Prior-v1,13.59002789509124,nan,13.59002789509124,4.81428599357605
cylinder,0.5,gauss,19,Prior-v2,46.2745605922427,nan,46.2745605922427,4.759909629821777
cylinder,0.5,gauss,101,Bilateral,14.730080465483574,nan,14.730080465483574,0.7021644115447998
cylinder,0.5,gauss,101,MLS,37.056351714702465,nan,37.056351714702465,0.5727217197418213
cylinder,0.5,gauss,101,GLR,48.234545217377914,nan,48.234545217377914,0.6172127723693848
cylinder,0.5,gauss,101,Prior-v1,13.520102805257462,nan,13.520102805257462,4.796302318572998
cylinder,0.5,gauss,101,Prior-v2,47.960020398413995,nan,47.960020398413995,4.765718698501587
cylinder,1.0,gauss,7,Bilateral,8.202508183789426,nan,8.202508183789426,0.7408139705657959
cylinder,1.0,gauss,7,MLS,23.640485576959502,nan,23.640485576959502,0.5527019500732422
cylinder,1.0,gauss,7,GLR,33.186501902261824,nan,33.186501902261824,0.6187424659729004
cylinder,1.0,gauss,7,Prior-v1,6.718524058250141,nan,6.718524058250141,4.599695682525635
cylinder,1.0,gauss,7,Prior-v2,40.977891598459756,nan,40.977891598459756,4.653323650360107
cylinder,1.0,gauss,19,Bilateral,8.249279301687062,nan,8.249279301687062,0.7231802940368652
cylinder,1.0,gauss,19,MLS,23.948391072370324,nan,23.948391072370324,0.563906192779541
cylinder,1.0,gauss,19,GLR,33.647828581616515,nan,33.647828581616515,0.6197164058685303
cylinder,1.0,gauss,19,Prior-v1,6.754065263691067,nan,6.754065263691067,4.596709489822388
cylinder,1.0,gauss,19,Prior-v2,40.37896612042577,nan,40.37896612042577,4.563975095748901
cylinder,1.0,gauss,101,Bilateral,8.111713904045937,nan,8.111713904045937,0.714146614074707
cylinder,1.0,gauss,101,MLS,23.297526906658383,nan,23.297526906658383,0.5686216354370117
cylinder,1.0,gauss,101,GLR,32.603239062945576,nan,32.603239062945576,0.6148502826690674
cylinder,1.0,gauss,101,Prior-v1,6.557996867349547,nan,6.557996867349547,4.578830718994141
cylinder,1.0,gauss,101,Prior-v2,40.168870743012306,nan,40.168870743012306,4.586468935012817
ridge90,0.5,gauss,7,Bilateral,14.212818573750319,11.869637085765206,14.324953324396084,0.7001044750213623
ridge90,0.5,gauss,7,MLS,35.97514010430408,28.673608321942957,36.34031194025498,0.5688900947570801
ridge90,0.5,gauss,7,GLR,46.98111395573675,34.54766292610589,47.64061097555617,0.6269431114196777
