scene,method,mean,med,lt5,lt10,lt20,mean_planar,mean_edge
5942004064,Bilateral,23.13745059076137,13.991885053717752,22.81,41.05,59.8,9.814716968966623,37.587609146571936
5942004064,MLS,22.724884688110503,13.53105139716035,26.68,42.58,59.53000000000001,9.043923929749452,37.465533058554705
5942004064,GLR,22.94504158251382,13.67318845791533,28.07,43.03,59.550000000000004,8.937252373565125,38.12475223832915
5942004064,Prior-v2,22.983605510576478,13.977160830101635,24.64,41.13,59.89,9.61875052180125,37.37547725838763
5ee7c22ba0,Noisy,24.995764426040154,14.723239454672925,18.84,38.37,58.87,13.422933590260074,42.21243293916911
5ee7c22ba0,Bilateral,24.31882745118782,13.538074923986516,22.34,41.53,60.11,12.315257134780781,42.10966705204493
5ee7c22ba0,MLS,23.524393559128452,12.329442569647059,27.18,45.16,61.47,10.858692908766477,42.205721295943654
5ee7c22ba0,GLR,23.361448732256186,11.810781787334047,29.68,46.42,61.41,10.276652939717641,42.62011497457985
5ee7c22ba0,Prior-v2,24.110289568053133,13.500871933481664,25.240000000000002,42.4,59.870000000000005,12.166938111352296,41.80480436405558
6115eddb86,Noisy,18.327055063614992,10.667880145507725,25.72,48.03,70.49,12.570976677755858,38.027882348206624
6115eddb86,Bilateral,17.186986143205,9.595270957333621,30.09,51.59,72.88,11.364048615550587,37.07950715130373
6115eddb86,MLS,15.540590230533704,7.785293552959884,35.94,57.410000000000004,76.55,9.347923956294853,36.9351241192703
6115eddb86,GLR,14.683943689530803,6.9804328264575775,40.07,60.31999999999999,78.42,8.34677328515623,36.702392324158616
6115eddb86,Prior-v2,17.266473788284532,9.575462142803108,31.619999999999997,51.1,72.43,11.45015684749567,37.05793373534386
7b6477cb95,Noisy,27.870852384990016,19.3816103580683,13.209999999999999,28.9,51.15,14.465856016902144,39.94332102046895
7b6477cb95,Bilateral,26.936992622156534,17.82032332721213,15.2,31.669999999999998,53.87,13.080421576825438,39.38367994263326
7b6477cb95,MLS,25.20391337627785,15.58058392589396,19.220000000000002,36.57,57.879999999999995,10.855421726144861,38.3480668789492
7b6477cb95,GLR,24.404555492449646,14.212210719037397,21.78,39.300000000000004,59.68,9.82574485399976,37.83843220482723
7b6477cb95,Prior-v2,25.92777629113644,16.571342099073362,17.82,33.96,56.34,11.649484951333001,38.86053802436799
c50d2d1d42,Noisy,21.32036316157442,11.490951116519224,21.69,44.93,67.67,12.40248374464637,43.139665933954
c50d2d1d42,Bilateral,20.387754991835333,10.405098567332637,24.83,48.82,69.38,11.186890286088538,42.94220993325447
c50d2d1d42,MLS,19.12315245500172,8.530572195825515,31.630000000000003,55.269999999999996,72.1,9.313398427995166,42.93449859917393
c50d2d1d42,GLR,18.548686074238084,7.582138697540714,36.67,57.21000000000001,72.91,8.3676748561788,43.300960874651345
c50d2d1d42,Prior-v2,20.38416294150041,10.216751831935419,25.629999999999995,49.16,69.1,11.238853549732717,42.76267019011435
cc5237fd77,Noisy,28.499450932749465,18.02701624108127,19.67,35.13,52.83,15.824126104073706,49.061283992380034
cc5237fd77,Bilateral,27.838373455107458,17.080046643443513,22.28,37.53,54.2,14.797618087912982,48.932081751514126
cc5237fd77,MLS,26.77856000329007,15.432011802890557,26.75,41.71,55.97,13.200614449658527,48.79136737905214
cc5237fd77,GLR,26.231327513344585,14.527032146631754,29.310000000000002,43.64,56.69,12.453673825440259,48.777313303277914
cc5237fd77,Prior-v2,27.225779537537683,16.044558895480844,25.380000000000003,39.910000000000004,55.300000000000004,13.890502922898122,48.747641102351004
f9f95681fd,Noisy,35.005783312058156,27.612628196003683,14.34,26.99,42.11,14.787456767259618,50.06119784829789
f9f95681fd,Bilateral,34.729353008297316,27.113303920287393,15.61,28.060000000000002,42.68,14.083483996014516,50.33172323007742
f9f95681fd,MLS,34.60686106103887,26.72199320234801,17.580000000000002,29.13,43.05,13.255086285657436,50.97887391658556
f9f95681fd,GLR,34.6422137063246,26.671895265608434,18.21,29.78,43.7,12.759259193419233,51.4508762330121
f9f95681fd,Prior-v2,34.63662988573803,27.22717895202045,16.31,28.15,42.74,14.02391823947676,49.985775165214406
fb5a96b1a2,Noisy,26.075797785208426,16.693659135975466,15.14,33.379999999999995,55.97,16.4012538716519,46.68888449984318
fb5a96b1a2,Bilateral,25.047015268861355,15.171250875957787,17.7,37.09,58.77,14.989654015284087,46.37108704966754
fb5a96b1a2,MLS,23.3493739827418,12.499352366590204,22.59,43.2,62.89,12.786949015082003,46.201649195132454
fb5a96b1a2,GLR,22.328110415997553,10.914646416658986,26.02,47.599999999999994,64.95,11.481685641139572,45.81817059820769
fb5a96b1a2,Prior-v2,24.58975505194475,14.334343525927338,19.0,38.35,59.699999999999996,14.427702115153206,46.42295052961546
