regime,scene,tag,method,n,raw_rmse_cm,dRMSE,dMAE,disp_med_mm,disp_p95_mm,disp_med_sig,disp_med_ell,sigma_g_mm,ell_mm
iphone-frame,cc5237fd77,frame_000580.jpg,MLS,12281,12.883733713951434,0.09277263646493283,-0.22808398068177027,1.1337270990004615,7.507688080564708,0.9664793635456344,0.07531578607327456,1.1730484279299886,15.052981028733408
iphone-frame,cc5237fd77,frame_000580.jpg,GLR,12281,12.883733713951434,0.11632700469726975,-0.40796322846998745,1.5670566010012745,11.197324546018235,1.3358839774677382,0.10410274203534471,1.1730484279299886,15.052981028733408
iphone-frame,cc5237fd77,frame_000580.jpg,Prior-v2,12281,12.883733713951434,0.0014193803738571376,0.006051732398693055,0.0017773959034604546,0.45833288360474866,0.0015151939678072195,0.00011807600766583394,1.1730484279299886,15.052981028733408
iphone-frame,cc5237fd77,frame_001160.jpg,Bilateral,12288,2.503734966958622,-0.008834879323993405,-0.1357779866728137,0.18035076339728714,1.5142487157365927,0.3655301560905668,0.01855222269673025,0.4933950319192591,9.721248301451284
iphone-frame,cc5237fd77,frame_001160.jpg,MLS,12288,2.503734966958622,-0.11520689405022377,-0.4389900368614308,0.3973729149882458,4.350248658587874,0.8053849116338252,0.040876737495538024,0.4933950319192591,9.721248301451284
iphone-frame,cc5237fd77,frame_001160.jpg,GLR,12288,2.503734966958622,-0.25007801555201326,-0.7371215139116982,0.5268115616957191,6.167343282884993,1.0677277364928974,0.0541917606983539,0.4933950319192591,9.721248301451284
iphone-frame,cc5237fd77,frame_001160.jpg,Prior-v2,12288,2.503734966958622,0.004792869692216151,0.004841259262999831,0.006392124377796198,0.19703021576389007,0.01295538858584786,0.000657541519249578,0.4933950319192591,9.721248301451284
iphone-frame,cc5237fd77,frame_001740.jpg,Bilateral,12288,25.72180290367684,0.0034160623813561664,-0.00038849411361230324,0.14361153623491266,1.2996103913683283,0.318247282480757,0.019471393049709917,0.4512576974647031,7.375514214561077
iphone-frame,cc5237fd77,frame_001740.jpg,MLS,12288,25.72180290367684,0.008460385938413584,-0.006789064456746985,0.31140370718192956,3.501422848659918,0.6900795448840131,0.0422212876391616,0.4512576974647031,7.375514214561077
iphone-frame,cc5237fd77,frame_001740.jpg,GLR,12288,25.72180290367684,0.009640286112022611,-0.02034784253581723,0.38903458652420003,4.642217937109954,0.862111799638649,0.05274677468635385,0.4512576974647031,7.375514214561077
iphone-frame,cc5237fd77,frame_001740.jpg,Prior-v2,12288,25.72180290367684,-1.8383253630460672e-05,0.0004167199715965353,0.011000836435475501,0.2312311157310888,0.024378168999450264,0.0014915348427185745,0.4512576974647031,7.375514214561077
iphone-frame,cc5237fd77,frame_004670.jpg,Bilateral,12288,3.8044652607602694,0.10937489836869707,0.027513278903645855,0.3199016754383622,2.7143741026064387,0.4669781936154818,0.02351827907040496,0.6850462812719618,13.602256970298615
iphone-frame,cc5237fd77,frame_004670.jpg,MLS,12288,3.8044652607602694,0.14703370720176023,-0.11167886348946165,0.7583664566602414,6.758774455767231,1.1070295194437267,0.0557529870418144,0.6850462812719618,13.602256970298615
iphone-frame,cc5237fd77,frame_004670.jpg,GLR,12288,3.8044652607602694,0.1534223867084683,-0.1978373314690307,1.0552804113392322,9.852985775009657,1.540451263875757,0.07758127298770506,0.6850462812719618,13.602256970298615
iphone-frame,cc5237fd77,frame_004670.jpg,Prior-v2,12288,3.8044652607602694,0.0006722446879048327,0.0013622226809451021,0.00016983832642611596,0.14674370543446502,0.0002479224116987333,1.2486040131757737e-05,0.6850462812719618,13.602256970298615
iphone-frame,cc5237fd77,frame_005250.jpg,Bilateral,12288,19.67401194742224,0.02049910997825588,0.033016688612519385,0.3741991690688024,2.223988065907174,0.471475833824006,0.033478724931215544,0.7936762433024485,11.177222842391483
iphone-frame,cc5237fd77,frame_005250.jpg,MLS,12288,19.67401194742224,0.050027340205316406,0.040948201186519206,0.9101518586241671,5.534333090509074,1.146754567946137,0.08142915922646143,0.7936762433024485,11.177222842391483
iphone-frame,cc5237fd77,frame_005250.jpg,GLR,12288,19.67401194742224,0.07298405261488838,0.029972329687844024,1.2796677728235495,8.248159306077333,1.6123296898576478,0.11448888429205392,0.7936762433024485,11.177222842391483
iphone-frame,cc5237fd77,frame_005250.jpg,Prior-v2,12288,19.67401194742224,6.404060334253003e-05,0.00115145090833213,0.0004809528244951631,0.2724087112833832,0.0006059811263695641,4.302972493561097e-05,0.7936762433024485,11.177222842391483
iphone-frame,cc5237fd77,frame_005830.jpg,Bilateral,12288,2.980859191917239,-0.1240824487078962,-0.16768943608946874,0.20074536236210988,1.8076837416365479,0.3918599212167813,0.018562403674977083,0.5122885783953276,10.814621094258436
iphone-frame,cc5237fd77,frame_005830.jpg,MLS,12288,2.980859191917239,-0.4154866224481024,-0.4845212467597948,0.4334308589870226,5.1716105503672605,0.8460677758981402,0.04007822883198895,0.5122885783953276,10.814621094258436
iphone-frame,cc5237fd77,frame_005830.jpg,GLR,12288,2.980859191917239,-0.7374164562429453,-0.8035898769955363,0.5472999024740003,7.291631597478002,1.0683429701282776,0.0506074043328211,0.5122885783953276,10.814621094258436
iphone-frame,cc5237fd77,frame_005830.jpg,Prior-v2,12288,2.980859191917239,0.008417948827865729,0.005098701480532597,0.009242579815507778,0.1970902595126758,0.0180417448041046,0.0008546374148568271,0.5122885783953276,10.814621094258436
iphone-frame,cc5237fd77,frame_006410.jpg,Bilateral,12288,12.682994277181036,0.07633044383266174,-0.043258603030316145,0.3025902178297324,2.6004483601104442,0.4339539766167836,0.023183224449780465,0.6972864259819654,13.052119581640618
iphone-frame,cc5237fd77,frame_006410.jpg,MLS,12288,12.682994277181036,0.19598595532323015,-0.1719492593798888,0.676735362038776,6.486345399257303,0.9705270830637854,0.051848694593546116,0.6972864259819654,13.052119581640618
iphone-frame,cc5237fd77,frame_006410.jpg,GLR,12288,12.682994277181036,0.2863143966451487,-0.3065662888415144,0.912117140194944,9.462993750784909,1.3080953606724013,0.06988268337719371,0.6972864259819654,13.052119581640618
